# 页面: 启动器中不可用的Java版版本
# 来源: https://zh.minecraft.wiki/w/%E5%90%AF%E5%8A%A8%E5%99%A8%E4%B8%AD%E4%B8%8D%E5%8F%AF%E7%94%A8%E7%9A%84Java%E7%89%88%E7%89%88%E6%9C%AC
# 分类: 
# 抓取时间: 2026-07-14 17:22:02
# 原始 Wikitext 内容:

此条目列出了[[启动器]]中不可用的所有Java版版本。所有未公开发布过的版本不在此列出。

== Classic ==
=== 客户端 ===
==== 常规版本 ====
{{columns-list|colwidth=15em|
* [[Java版Classic 0.0.12a|0.0.12a]]
* [[Java版Classic 0.0.12a 01|0.0.12a_01]]
* [[Java版Classic 0.0.12a 02|0.0.12a_02]]
* [[Java版Classic 0.0.12a 03|0.0.12a_03]]
* [[Java版Classic 0.0.14a|0.0.14a]]
* [[Java版Classic 0.0.14a_01|0.0.14a_01]]
* [[Java版Classic 0.0.14a_03|0.0.14a_03]]
* [[Java版Classic 0.0.14a_04|0.0.14a_04]]
* [[Java版Classic 0.0.14a_07|0.0.14a_07]]
* [[Java版Classic 0.0.14a_08|0.0.14a_08]]
* [[Java版Classic 0.0.15a|0.0.15a]]
* [[Java版Classic 0.0.15a_01|0.0.15a_01]]
* [[Java版Classic 0.0.15a_02|0.0.15a_02]]
* [[Java版Classic 0.0.15a_03|0.0.15a_03]]
* [[Java版Classic 0.0.16a 01|0.0.16a_01]]
* [[Java版Classic 0.0.16a 02|0.0.16a_02]]
* [[Java版Classic 0.0.17a|0.0.17a]]
* [[Java版Classic 0.0.18a|0.0.18a]]
* [[Java版Classic 0.0.18a 01|0.0.18a_01]]
* [[Java版Classic 0.0.18a 02|0.0.18a_02]]
* [[Java版Classic 0.0.19a|0.0.19a]]
* [[Java版Classic 0.0.19a 04|0.0.19a_04]]
* [[Java版Classic 0.0.19a 05|0.0.19a_05]]
* [[Java版Classic 0.0.19a 06|0.0.19a_06]]
* [[Java版Classic 0.0.20a|0.0.20a]]
* [[Java版Classic 0.0.20a 01|0.0.20a_01]]
* [[Java版Classic 0.0.20a 02|0.0.20a_02]]
* [[Java版Classic 0.0.21a|0.0.21a]]
* [[Java版Classic 0.0.21a 01|0.0.21a_01]]
* [[Java版Classic 0.0.22a 01|0.0.22a_01]]
* [[Java版Classic 0.0.22a 02|0.0.22a_02]]
* [[Java版Classic 0.0.22a 03|0.0.22a_03]]
* [[Java版Classic 0.0.22a 04|0.0.22a_04]]
* [[Java版Classic 0.0.22a 05|0.0.22a_05]]
* [[Java版Classic 0.0.23a|0.0.23a]]
* [[Java版Classic 0.0.23a 01|0.0.23a_01]]
* [[Java版Classic 0.24 SURVIVAL TEST|0.24_SURVIVAL_TEST]]
* [[Java版Classic 0.24 SURVIVAL TEST 01|0.24_SURVIVAL_TEST_01]]
* [[Java版Classic 0.24 SURVIVAL TEST 02|0.24_SURVIVAL_TEST_02]]
* [[Java版Classic 0.24 SURVIVAL TEST 03|0.24_SURVIVAL_TEST_03]]
* [[Java版Classic 0.25 SURVIVAL TEST|0.25 SURVIVAL TEST]]
* [[Java版Classic 0.25 05 SURVIVAL TEST|0.25_05 SURVIVAL TEST]]
* [[Java版Classic 0.26 SURVIVAL TEST|0.26 SURVIVAL TEST]]
* [[Java版Classic 0.27 SURVIVAL TEST|0.27 SURVIVAL TEST]]
* [[Java版Classic 0.28|0.28]]
* [[Java版Classic 0.28 01|0.28_01]]
* [[Java版Classic 0.29|0.29]]
* [[Java版Classic 0.29 01|0.29_01]]
* [[Java版Classic 0.29 02|0.29_02]]
* [[Java版Classic 0.30|0.30（生存模式）]]
}}

==== 非变种的原版 ====
{{columns-list|colwidth=15em|
* [[Java版Classic 0.0.11a|0.0.11a]]
* [[Java版Classic 0.0.13a|0.0.13a]]
}}

=== 服务端 ===
{{columns-list|colwidth=15em|
* [[Java版Classic服务器1.0|1.0]]
* [[Java版Classic服务器1.1|1.1]]
* [[Java版Classic服务器1.2|1.2]]
* [[Java版Classic服务器1.3|1.3]]
* [[Java版Classic服务器1.4|1.4]]
* [[Java版Classic服务器1.4.1|1.4.1]]
* [[Java版Classic服务器1.5|1.5]]
* [[Java版Classic服务器1.6|1.6]]
* [[Java版Classic服务器1.7|1.7]]
* [[Java版Classic服务器1.8|1.8]]
* [[Java版Classic服务器1.8.1|1.8.1]]
* [[Java版Classic服务器1.8.2|1.8.2]]
* [[Java版Classic服务器1.8.3|1.8.3]]
* [[Java版Classic服务器1.9.1|1.9.1]]
* [[Java版Classic服务器1.10|1.10]]
* [[Java版Classic服务器1.10.1|1.10.1]]
}}

== Indev ==
{{columns-list|colwidth=15em|
* [[Java版Indev 0.31 20091223-0040|0.31 20091223-0040]]
* [[Java版Indev 0.31 20091223-1457|0.31 20091223-1457]]
* [[Java版Indev 0.31 20091223-1459|0.31 20091223-1459]]
* [[Java版Indev 0.31 20091231-1856|0.31 20091231-1856]]
* [[Java版Indev 0.31 20091231-2004|0.31 20091231-2004]]
* [[Java版Indev 0.31 20091231-2013|0.31 20091231-2013]]
* [[Java版Indev 0.31 20091231-2033|0.31 20091231-2033]]
* [[Java版Indev 0.31 20091231-2147|0.31 20091231-2147]]
* [[Java版Indev 0.31 20091231-2255|0.31 20091231-2255]]
* [[Java版Indev 0.31 20100104-2154|0.31 20100104-2154]]
* [[Java版Indev 0.31 20100104-2258|0.31 20100104-2258]]
* [[Java版Indev 0.31 20100106-1655|0.31 20100106-1655]]
* [[Java版Indev 0.31 20100106-2158|0.31 20100106-2158]]
* [[Java版Indev 0.31 20100106-2220|0.31 20100106-2220]]
* [[Java版Indev 0.31 20100107-1851|0.31 20100107-1851]]
* [[Java版Indev 0.31 20100107-1947|0.31 20100107-1947]]
* [[Java版Indev 0.31 20100107-2010|0.31 20100107-2010]]
* [[Java版Indev 0.31 20100109-1939|0.31 20100109-1939]]
* [[Java版Indev 0.31 20100109-2000|0.31 20100109-2000]]
* [[Java版Indev 0.31 20100110|0.31 20100110]]
* [[Java版Indev 0.31 20100111-2207|0.31 20100111-2207]]
* [[Java版Indev 0.31 20100111-2210|0.31 20100111-2210]]
* [[Java版Indev 0.31 20100112-0826|0.31 20100112-0826]]
* [[Java版Indev 0.31 20100112-1949|0.31 20100112-1949]]
* [[Java版Indev 0.31 20100113-2015|0.31 20100113-2015]]
* [[Java版Indev 0.31 20100113-2015#创造模式|0.31 2010011x]]
* [[Java版Indev 0.31 20100113-2244|0.31 20100113-2244]]
* [[Java版Indev 0.31 20100114|0.31 20100114]]
* [[Java版Indev 0.31 20100122-1708|0.31 20100122-1708]]
* [[Java版Indev 0.31 20100122-2251|0.31 20100122-2251]]
* [[Java版Indev 0.31 20100124-2119|0.31 20100124-2119]]
* [[Java版Indev 0.31 20100124-2134|0.31 20100124-2134]]
* [[Java版Indev 0.31 20100124-2310|0.31 20100124-2310]]
* [[Java版Indev 0.31 20100125|0.31 20100125]]
* [[Java版Indev 0.31 20100128-2203|0.31 20100128-2203]]
* [[Java版Indev 0.31 20100128-2304|0.31 20100128-2304]]
* [[Java版Indev 0.31 20100129-1447|0.31 20100129-1447]]
* [[Java版Indev 0.31 20100129-1452|0.31 20100129-1452]]
* [[Java版Indev 0.31 20100129-2129|0.31 20100129-2129]]
* [[Java版Indev 0.31 20100129-2134|0.31 20100129-2134]]
* [[Java版Indev 0.31 20100129-2138|0.31 20100129-2138]]
* [[Java版Indev 0.31 20100129-2158|0.31 20100129-2158]]
* [[Java版Indev 0.31 20100129-2209|0.31 20100129-2209]]
* [[Java版Indev 0.31 20100129-2333|0.31 20100129-2333]]
* [[Java版Indev 0.31 20100130|0.31 20100130]]
* [[Java版Indev 0.31 20100131-2157|0.31 20100131-2157]]
* [[Java版Indev 0.31 20100131-2229|0.31 20100131-2229]]
* [[Java版Indev 0.31 20100131-2236|0.31 20100131-2236]]
* [[Java版Indev 0.31 20100131-2241|0.31 20100131-2241]]
* [[Java版Indev 0.31 20100131-2244|0.31 20100131-2244]]
* [[Java版Indev 0.31 20100201-0025|0.31 20100201-0025]]
* [[Java版Indev 0.31 20100201-0038|0.31 20100201-0038]]
* [[Java版Indev 0.31 20100201-2227|0.31 20100201-2227]]
* [[Java版Indev 0.31 20100202-2157|0.31 20100202-2157]]
* [[Java版Indev 0.31 20100202-2311|0.31 20100202-2311]]
* [[Java版Indev 0.31 20100202-2330|0.31 20100202-2330]]
* [[Java版Indev 0.31 20100204-1541|0.31 20100204-1541]]
* [[Java版Indev 0.31 20100204-2027|0.31 20100204-2027]]
* [[Java版Indev 0.31 20100204-2153|0.31 20100204-2153]]
* [[Java版Indev 0.31 20100205-1558|0.31 20100205-1558]]
* [[Java版Indev 0.31 20100205-2241|0.31 20100205-2241]]
* [[Java版Indev 0.31 20100206-1437|0.31 20100206-1437]]
* [[Java版Indev 20100206-2034|Minecraft Indev 20100206-2034]]
* [[Java版Indev 20100206-2103|Minecraft Indev 20100206-2103]]
* [[Java版Indev 20100207-1057|Minecraft Indev 20100207-1057]]
* [[Java版Indev 20100207-1101|Minecraft Indev 20100207-1101]]
* [[Java版Indev 20100207-1647|Minecraft Indev 20100207-1647]]
* [[Java版Indev 20100207-1703|Minecraft Indev 20100207-1703]]
* [[Java版Indev 20100211-2327|Minecraft Indev 20100211-2327]]
* [[Java版Indev 20100211-2333|Minecraft Indev 20100211-2333]]
* [[Java版Indev 20100211-2340|Minecraft Indev 20100211-2340]]
* [[Java版Indev 20100212-1210|Minecraft Indev 20100212-1210]]
* [[Java版Indev 20100212-1622|Minecraft Indev 20100212-1622]]
* [[Java版Indev 20100213|Minecraft Indev 20100213]]
* [[Java版Indev 20100214|Minecraft Indev 20100214]]
